Track,Album Name,Artist,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,year,month
On My Love,On My Love (Sped Up),Zara Larsson,USSM12306769,1159,44.1,128024416.0,20826.0,60798732.0,7.0,14394570.0,139320.0,"3,966","507,857","8,090,936","1,176,532,287",73.0,129069.0,82.0,"4,576,277",48.0,"1,333,245",192,934544.0,0,2023,9
Mujeriego,Mujeriego - Single,Ryan Castro,COSO12100328,1158,44.1,285723562.0,63343.0,16024245.0,63.0,316060497.0,3601489.0,"1,645,802","630,242,190","6,484,877,304","43,034,965",32.0,17619.0,28.0,"11,861,287",24.0,"2,371,513","4,437",3132192.0,0,2021,12
Miss The Rage (feat. Playboi Carti),Miss The Rage,Trippie Redd,QZJ842000983,1160,44.1,535695469.0,188778.0,26774987.0,6.0,171889127.0,3367746.0,"155,446","113,564,973","1,011,224,005","112,767,017",58.0,3186.0,15.0,"112,154",1.0,"7,839,291","15,078",1525672.0,1,2021,5
TUTA GOLD,TUTA GOLD,Mahmood,ITUM72400066,1157,44.1,95029509.0,5218.0,9118781.0,65.0,73263450.0,405639.0,,,,"965,737,153",28.0,19714.0,13.0,"3,804,779",25.0,,,279900.0,0,2024,2
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT,Taylor Swift,USUG12401030,1161,44.0,161916445.0,3784.0,17036800.0,83.0,13509432.0,180327.0,,,,,32.0,1456.0,7.0,"176,069",27.0,"2,674,527","2,560",47529.0,0,2024,4
Florida!!! (feat. Florence + the Machine),THE TORTURED POETS DEPARTMENT,Taylor Swift,USUG12401035,1162,44.0,140177107.0,3866.0,16996059.0,,13707215.0,189148.0,"18,200","6,292,326","45,866,138",,19.0,2111.0,3.0,"44,338",41.0,"1,517,277","2,475",68490.0,1,2024,4
Legends,Legends,Juice WRLD,USUG11801263,1166,44.0,681282854.0,118639.0,18809173.0,63.0,186468599.0,1849004.0,"36,108","21,004,398","157,362,351","1,460,530",16.0,70.0,19.0,"62,644",2.0,"51,320,211","87,163",1025107.0,1,2018,6
Black Beatles,SremmLife 2 (Deluxe),Rae Sremmurd,USUM71603293,1164,44.0,972005229.0,186174.0,27470180.0,69.0,1178473071.0,9750786.0,"80,426","32,338,631","184,153,973","189,211,405",160.0,37555.0,45.0,"153,694",47.0,"372,431,461","173,599",12673047.0,1,2016,8
King Size,Feed Tha Streets III,Roddy Ricch,USAT22220949,1163,44.0,3248779.0,3105.0,291653.0,33.0,590470795.0,8815644.0,113,"7,218","297,262","440,677,355",,28.0,,,,"179,455",70,,1,2022,11
Girls Want Girls (with Lil Baby),Certified Lover Boy,Drake,USUG12104399,1168,43.9,459480135.0,137691.0,22202207.0,68.0,94845922.0,710635.0,"97,707","54,238,635","550,340,528","27,126,576",77.0,1996.0,24.0,"203,415",46.0,"63,766,205","182,395",1506723.0,1,2021,9
